Station_Code,City,State,Latitude,Longitude
DNO3,Slidell,LA,30.2751945,-89.7811745
DOB2,New York,NY,40.7127281,-74.0060152
DOB4,New York,NY,40.7127281,-74.0060152
DOB7,Hartford,CT,41.764582,-72.6908547
DOK2,Tulsa,OK,36.1563122,-95.9927436
DOK3,Oklahoma City,OK,35.4729886,-97.5170536
DOK4,Oklahoma City,OK,35.4729886,-97.5170536
DOK6,Tulsa,OK,36.1563122,-95.9927436
DOM2,Omaha,NE,41.2587459,-95.9383758
DOR2,Norfolk,VA,36.8448348,-76.2863999
DOR3,Norfolk,VA,36.8448348,-76.2863999
DOT4,Los Angeles,CA,34.0536909,-118.242766
DPD2,Portland,OR,45.5202471,-122.674194
DPD4,Portland,OR,45.5202471,-122.674194
DPD6,Portland,OR,45.5202471,-122.674194
DPD7,Portland,OR,45.5202471,-122.674194
DPD8,Portland,OR,45.5202471,-122.674194
DPH7,York,PA,39.9624624,-76.727707
DPH8,Philadelphia,PA,39.9527237,-75.1635262
DPH9,Philadelphia,PA,39.9527237,-75.1635262
DPL2,Harrisburg,PA,40.2663107,-76.8861122
DPL7,Lancaster,PA,40.03813,-76.3056686
DPP1,Pittsburgh,PA,40.4416941,-79.9900861
DPP7,Pittsburgh,PA,40.4416941,-79.9900861
DPS2,Los Angeles,CA,34.0536909,-118.242766
DPS5,Los Angeles,CA,34.0536909,-118.242766
DPS6,Los Angeles,CA,34.0536909,-118.242766
DPX4,Phoenix,AZ,33.4484367,-112.074141
DPX7,Phoenix,AZ,33.4484367,-112.074141
DRC6,Norfolk,VA,36.8448348,-76.2863999
DRI1,Providence,RI,41.8239891,-71.4128343
DRO2,Rochester,NY,43.157285,-77.615214
DRT3,Raleigh,NC,35.7803977,-78.6390989
DRT4,Greenville,SC,34.851354,-82.3984882
DRT7,Raleigh,NC,35.7803977,-78.6390989
DRT8,Raleigh,NC,35.7803977,-78.6390989
DRT9,Raleigh,NC,35.7803977,-78.6390989
DSC3,Greenville,SC,34.851354,-82.3984882
DSC4,Charleston,SC,32.7876012,-79.9402728
DSD1,San Diego,CA,32.7174202,-117.1627728
DSD4,San Diego,CA,32.7174202,-117.1627728
DSD5,San Diego,CA,32.7174202,-117.1627728
DSD8,San Diego,CA,32.7174202,-117.1627728
DSE1,Seattle,WA,47.6038321,-122.330062
DSE8,Seattle,WA,47.6038321,-122.330062
DSF5,San Francisco,CA,37.7790262,-122.419906
DSF7,San Francisco,CA,37.7790262,-122.419906
DSF8,San Francisco,CA,37.7790262,-122.419906
DSJ5,Fresno,CA,36.7295295,-119.70886126075588
DSJ9,San Francisco,CA,37.7790262,-122.419906
DSK4,Spokane,WA,47.6571934,-117.42351
DSM4,Sacramento,CA,38.5810606,-121.493895
DSR2,Sacramento,CA,38.5810606,-121.493895
DSR4,Sacramento,CA,38.5810606,-121.493895
DSR6,Sacramento,CA,38.5810606,-121.493895
DSW2,Non Metro Areas,,,
DSW3,Seattle,WA,47.6038321,-122.330062
DSW5,Seattle,WA,47.6038321,-122.330062
DSX5,San Antonio,TX,29.4246002,-98.4951405
DSX8,San Antonio,TX,29.4246002,-98.4951405
DSX9,San Antonio,TX,29.4246002,-98.4951405
DTB4,Boston,MA,42.3554334,-71.060511
DTB9,Boston,MA,42.3554334,-71.060511
DTG5,Atlanta,GA,33.7489924,-84.3902644
DTN6,Nashville,TN,36.1622767,-86.7742984
DTN7,Nashville,TN,36.1622767,-86.7742984
DTN8,Nashville,TN,36.1622767,-86.7742984
DTP3,Tampa,FL,27.9477595,-82.458444
DTP7,Tampa,FL,27.9477595,-82.458444
DTP9,Tampa,FL,27.9477595,-82.458444
DTU2,Tucson,AZ,32.2228765,-110.9748477
DTU3,Phoenix,AZ,33.4484367,-112.074141
DTU6,Phoenix,AZ,33.4484367,-112.074141
DTU7,Phoenix,AZ,33.4484367,-112.074141
DTU8,Phoenix,AZ,33.4484367,-112.074141
DTU9,Phoenix,AZ,33.4484367,-112.074141
DUR1,Los Angeles,CA,34.0536909,-118.242766
DUR3,San Francisco,CA,37.7790262,-122.419906
DUR9,Los Angeles,CA,34.7465071,-92.2896267
DUT2,Provo,UT,40.2337289,-111.6587085
DUT4,Salt Lake City,UT,40.7596198,-111.8867975
DUT5,Salt Lake City,UT,40.7596198,-111.8867975
DUT7,Salt Lake City,UT,40.7596198,-111.8867975
DVA2,Richmond,VA,37.5385087,-77.43428
DVA3,Washington,DC,38.8950368,-77.0365427
DVA5,Washington,DC,38.8950368,-77.0365427
DVB4,Miami,FL,25.7741728,-80.19362
DVB5,Miami,FL,25.7741728,-80.19362
DVB7,Miami,FL,25.7741728,-80.19362
DVB8,Miami,FL,25.7741728,-80.19362
DWA2,Seattle,WA,47.6038321,-122.330062
DWA5,Seattle,WA,47.6038321,-122.330062
DWA6,Seattle,WA,47.6038321,-122.330062
DWA7,Seattle,WA,47.6038321,-122.330062
DWA9,Seattle,WA,47.6038321,-122.330062
DWD6,Washington,DC,38.8950368,-77.0365427
DWI4,Madison,WI,43.074761,-89.3837613
DWO1,Cincinnati,OH,39.1014537,-84.5124602
DWO6,Dayton,OH,39.7589478,-84.1916069
DWS4,Seattle,WA,47.6038321,-122.330062
DXC3,Los Angeles,CA,33.7489924,-84.3902644
DXC5,San Francisco,CA,37.7790262,-122.419906
DXC8,San Francisco,CA,37.7790262,-122.419906
DXH1,Chicago,IL,41.8755616,-87.6244212
DXH5,Chicago,IL,41.8755616,-87.6244212
DXH6,Chicago,IL,41.8755616,-87.6244212
DXY4,New York,NY,40.7127281,-74.0060152
DYN3,New York,NY,40.7127281,-74.0060152
DYN5,New York,NY,40.7127281,-74.0060152
DYN7,New York,NY,40.7127281,-74.0060152
DYN9,New York,NY,40.7127281,-74.0060152
DYO1,New York,NY,40.7127281,-74.0060152
DYO2,New York,NY,40.7127281,-74.0060152
DYO5,New York,NY,40.7127281,-74.0060152
DYR3,New York,NY,40.7127281,-74.0060152
DYR7,New York,NY,40.7127281,-74.0060152
DYY3,New York,NY,40.7127281,-74.0060152
DYY4,New York,NY,40.7127281,-74.0060152
DYY5,New York,NY,40.7127281,-74.0060152
DYY6,New York,NY,40.7127281,-74.0060152
DYY8,New York,NY,40.7127281,-74.0060152
DYY9,New York,NY,40.7127281,-74.0060152
XNK2,,,-4.5271203,120.2077887
